representation,n_features,spearman,pearson,rmse,mae,top20_overlap,top10_overlap,top5_hit_rate_true_top20
hard_only,19,0.2743886743886744,0.4119839278209958,0.11812483984328799,0.07422684894328288,0.125,0.0,0.0
mechanism_mean_only,5,-0.8795366795366795,-0.19650511582784141,0.13156358120098544,0.08603938549905263,0.125,0.0,0.2
mechanism_mean_std,10,0.33539253539253544,0.15589283673226925,0.1311761315772807,0.07785992943695877,0.5,0.25,0.4
full_soft_mean_only,6,-0.9459459459459459,-0.20361719984058455,0.13529303064512727,0.09089921404382792,0.0,0.0,0.0
full_soft_mean_std,12,0.3933075933075934,0.24585595967898793,0.12613288407567338,0.07278854119165655,0.375,0.0,0.6
hybrid_mechanism_mean,24,0.18970398970398972,0.3904707311484715,0.11914587601596276,0.0815316794281135,0.125,0.0,0.0
hybrid_mechanism_mean_std,29,0.3992277992277993,0.42850779872218736,0.11680690042816473,0.07815419536383476,0.25,0.0,0.2
hybrid_full_mean,25,0.2715572715572716,0.3881305876110985,0.11917227876107309,0.0813588858413726,0.25,0.0,0.0
hybrid_full_mean_std,31,0.39407979407979404,0.4151787136887166,0.11747176564272364,0.07864265051947518,0.375,0.0,0.2
